grid,precision,pair,cofire_count,same_sign_count,same_sign_fraction,p_one_tail_upper,p_one_tail_lower,p_two_tail,status
reference,float32,F1_F2,15,15,1.000000,0.000031,1.000000,0.000061,reference_grid_confirmed
reference,float32,F1_F4,32,18,0.562500,0.298307,0.811457,0.596615,depolarized_supported
reference,float32,F2_F4,2,2,1.000000,0.250000,1.000000,0.500000,underpowered_grid
reference,float64,F1_F2,16,16,1.000000,0.000015,1.000000,0.000031,reference_grid_confirmed
reference,float64,F1_F4,48,23,0.479167,0.667267,0.442717,0.885433,depolarized_supported
reference,float64,F2_F4,4,4,1.000000,0.062500,1.000000,0.125000,underpowered_grid
coarse_perturbation,float32,F1_F2,15,15,1.000000,0.000031,1.000000,0.000061,grid_stable_supported
coarse_perturbation,float32,F1_F4,29,17,0.586207,0.229129,0.867535,0.458258,depolarized_supported
coarse_perturbation,float32,F2_F4,4,4,1.000000,0.062500,1.000000,0.125000,underpowered_grid
coarse_perturbation,float64,F1_F2,17,17,1.000000,0.000008,1.000000,0.000015,grid_stable_supported
coarse_perturbation,float64,F1_F4,34,19,0.558824,0.303796,0.804236,0.607591,depolarized_supported
coarse_perturbation,float64,F2_F4,3,3,1.000000,0.125000,1.000000,0.250000,underpowered_grid
fine_perturbation,float32,F1_F2,12,12,1.000000,0.000244,1.000000,0.000488,grid_stable_supported
fine_perturbation,float32,F1_F4,45,22,0.488889,0.617004,0.500000,1.000000,grid_stability_rejected
fine_perturbation,float32,F2_F4,7,7,1.000000,0.007812,1.000000,0.015625,underpowered_grid
fine_perturbation,float64,F1_F2,19,19,1.000000,0.000002,1.000000,0.000004,grid_stable_supported
fine_perturbation,float64,F1_F4,38,25,0.657895,0.036476,0.983224,0.072951,grid_stability_rejected
fine_perturbation,float64,F2_F4,8,8,1.000000,0.003906,1.000000,0.007812,underpowered_grid
independent_uniform,float32,F1_F2,51,51,1.000000,4.441e-16,1.000000,8.882e-16,grid_stable_supported
independent_uniform,float32,F1_F4,12,9,0.750000,0.072998,0.980713,0.145996,grid_stability_rejected
independent_uniform,float32,F2_F4,13,13,1.000000,0.000122,1.000000,0.000244,grid_stable_supported
independent_uniform,float64,F1_F2,57,57,1.000000,6.939e-18,1.000000,1.388e-17,grid_stable_supported
independent_uniform,float64,F1_F4,12,12,1.000000,0.000244,1.000000,0.000488,grid_stability_rejected
independent_uniform,float64,F2_F4,19,19,1.000000,0.000002,1.000000,0.000004,grid_stable_supported
