grid,pair,both_precision_cofire,same_relation_count,invariance_fraction,status
reference,F1_F2,6,6,1.000000,reference_grid_confirmed
reference,F1_F4,15,7,0.466667,depolarized_supported
reference,F2_F4,0,0,null,underpowered_grid
coarse_perturbation,F1_F2,5,5,1.000000,grid_stable_supported
coarse_perturbation,F1_F4,11,5,0.454545,depolarized_supported
coarse_perturbation,F2_F4,1,1,1.000000,underpowered_grid
fine_perturbation,F1_F2,3,3,1.000000,grid_stable_supported
fine_perturbation,F1_F4,14,6,0.428571,grid_stability_rejected
fine_perturbation,F2_F4,1,1,1.000000,underpowered_grid
independent_uniform,F1_F2,23,23,1.000000,grid_stable_supported
independent_uniform,F1_F4,1,1,1.000000,grid_stability_rejected
independent_uniform,F2_F4,2,2,1.000000,grid_stable_supported
