grid,precision,pair,region,n_in_region,cofire_count,same_sign_count,same_sign_fraction,p_two_tail
reference,float32,F1_F2,near,49,0,0,null,null
reference,float32,F1_F2,middle,58,4,4,1.000000,0.125000
reference,float32,F1_F2,far,30,11,11,1.000000,0.000977
reference,float32,F1_F4,near,49,18,10,0.555556,0.814529
reference,float32,F1_F4,middle,58,14,8,0.571429,0.790527
reference,float32,F1_F4,far,30,0,0,null,null
reference,float32,F2_F4,near,49,0,0,null,null
reference,float32,F2_F4,middle,58,1,1,1.000000,1.000000
reference,float32,F2_F4,far,30,1,1,1.000000,1.000000
reference,float64,F1_F2,near,49,0,0,null,null
reference,float64,F1_F2,middle,58,3,3,1.000000,0.250000
reference,float64,F1_F2,far,30,13,13,1.000000,0.000244
reference,float64,F1_F4,near,49,24,8,0.333333,0.151590
reference,float64,F1_F4,middle,58,23,14,0.608696,0.404873
reference,float64,F1_F4,far,30,1,1,1.000000,1.000000
reference,float64,F2_F4,near,49,0,0,null,null
reference,float64,F2_F4,middle,58,0,0,null,null
reference,float64,F2_F4,far,30,4,4,1.000000,0.125000
coarse_perturbation,float32,F1_F2,near,12,0,0,null,null
coarse_perturbation,float32,F1_F2,middle,77,3,3,1.000000,0.250000
coarse_perturbation,float32,F1_F2,far,32,12,12,1.000000,0.000488
coarse_perturbation,float32,F1_F4,near,12,6,4,0.666667,0.687500
coarse_perturbation,float32,F1_F4,middle,77,23,13,0.565217,0.677639
coarse_perturbation,float32,F1_F4,far,32,0,0,null,null
coarse_perturbation,float32,F2_F4,near,12,0,0,null,null
coarse_perturbation,float32,F2_F4,middle,77,1,1,1.000000,1.000000
coarse_perturbation,float32,F2_F4,far,32,3,3,1.000000,0.250000
coarse_perturbation,float64,F1_F2,near,12,0,0,null,null
coarse_perturbation,float64,F1_F2,middle,77,4,4,1.000000,0.125000
coarse_perturbation,float64,F1_F2,far,32,13,13,1.000000,0.000244
coarse_perturbation,float64,F1_F4,near,12,3,1,0.333333,1.000000
coarse_perturbation,float64,F1_F4,middle,77,29,16,0.551724,0.711071
coarse_perturbation,float64,F1_F4,far,32,2,2,1.000000,0.500000
coarse_perturbation,float64,F2_F4,near,12,0,0,null,null
coarse_perturbation,float64,F2_F4,middle,77,2,2,1.000000,0.500000
coarse_perturbation,float64,F2_F4,far,32,1,1,1.000000,1.000000
fine_perturbation,float32,F1_F2,near,50,0,0,null,null
fine_perturbation,float32,F1_F2,middle,58,2,2,1.000000,0.500000
fine_perturbation,float32,F1_F2,far,29,10,10,1.000000,0.001953
fine_perturbation,float32,F1_F4,near,50,28,10,0.357143,0.184933
fine_perturbation,float32,F1_F4,middle,58,15,10,0.666667,0.301758
fine_perturbation,float32,F1_F4,far,29,2,2,1.000000,0.500000
fine_perturbation,float32,F2_F4,near,50,0,0,null,null
fine_perturbation,float32,F2_F4,middle,58,0,0,null,null
fine_perturbation,float32,F2_F4,far,29,7,7,1.000000,0.015625
fine_perturbation,float64,F1_F2,near,50,0,0,null,null
fine_perturbation,float64,F1_F2,middle,58,6,6,1.000000,0.031250
fine_perturbation,float64,F1_F2,far,29,13,13,1.000000,0.000244
fine_perturbation,float64,F1_F4,near,50,22,13,0.590909,0.523467
fine_perturbation,float64,F1_F4,middle,58,14,10,0.714286,0.179565
fine_perturbation,float64,F1_F4,far,29,2,2,1.000000,0.500000
fine_perturbation,float64,F2_F4,near,50,0,0,null,null
fine_perturbation,float64,F2_F4,middle,58,3,3,1.000000,0.250000
fine_perturbation,float64,F2_F4,far,29,5,5,1.000000,0.062500
independent_uniform,float32,F1_F2,near,0,0,0,null,null
independent_uniform,float32,F1_F2,middle,14,2,2,1.000000,0.500000
independent_uniform,float32,F1_F2,far,123,49,49,1.000000,3.553e-15
independent_uniform,float32,F1_F4,near,0,0,0,null,null
independent_uniform,float32,F1_F4,middle,14,6,3,0.500000,1.000000
independent_uniform,float32,F1_F4,far,123,6,6,1.000000,0.031250
independent_uniform,float32,F2_F4,near,0,0,0,null,null
independent_uniform,float32,F2_F4,middle,14,0,0,null,null
independent_uniform,float32,F2_F4,far,123,13,13,1.000000,0.000244
independent_uniform,float64,F1_F2,near,0,0,0,null,null
independent_uniform,float64,F1_F2,middle,14,3,3,1.000000,0.250000
independent_uniform,float64,F1_F2,far,123,54,54,1.000000,1.110e-16
independent_uniform,float64,F1_F4,near,0,0,0,null,null
independent_uniform,float64,F1_F4,middle,14,3,3,1.000000,0.250000
independent_uniform,float64,F1_F4,far,123,9,9,1.000000,0.003906
independent_uniform,float64,F2_F4,near,0,0,0,null,null
independent_uniform,float64,F2_F4,middle,14,1,1,1.000000,1.000000
independent_uniform,float64,F2_F4,far,123,18,18,1.000000,0.000008
