grid,precision,pair,cofire_count,same_sign_count,same_sign_fraction,p_one_tail_upper,p_one_tail_lower,p_two_tail,status
reference,float32,F1_F2,28,28,1.000000,3.725e-09,1.000000,7.451e-09,reference_grid_confirmed
reference,float32,F1_F4,5,5,1.000000,0.031250,1.000000,0.062500,underpowered_grid
reference,float32,F2_F4,23,22,0.956522,0.000003,1.000000,0.000006,grid_stability_rejected
reference,float64,F1_F2,34,34,1.000000,5.821e-11,1.000000,1.164e-10,reference_grid_confirmed
reference,float64,F1_F4,4,4,1.000000,0.062500,1.000000,0.125000,underpowered_grid
reference,float64,F2_F4,13,12,0.923077,0.001709,0.999878,0.003418,grid_stability_rejected
coarse_perturbation,float32,F1_F2,32,32,1.000000,2.328e-10,1.000000,4.657e-10,grid_stable_supported
coarse_perturbation,float32,F1_F4,8,8,1.000000,0.003906,1.000000,0.007812,underpowered_grid
coarse_perturbation,float32,F2_F4,17,15,0.882353,0.001175,0.999863,0.002350,grid_stability_rejected
coarse_perturbation,float64,F1_F2,24,24,1.000000,5.960e-08,1.000000,1.192e-07,grid_stable_supported
coarse_perturbation,float64,F1_F4,7,7,1.000000,0.007812,1.000000,0.015625,underpowered_grid
coarse_perturbation,float64,F2_F4,21,19,0.904762,0.000111,0.999990,0.000221,grid_stability_rejected
fine_perturbation,float32,F1_F2,33,33,1.000000,1.164e-10,1.000000,2.328e-10,grid_stable_supported
fine_perturbation,float32,F1_F4,8,8,1.000000,0.003906,1.000000,0.007812,underpowered_grid
fine_perturbation,float32,F2_F4,23,21,0.913043,0.000033,0.999997,0.000066,grid_stable_supported
fine_perturbation,float64,F1_F2,27,27,1.000000,7.451e-09,1.000000,1.490e-08,grid_stable_supported
fine_perturbation,float64,F1_F4,11,11,1.000000,0.000488,1.000000,0.000977,underpowered_grid
fine_perturbation,float64,F2_F4,26,25,0.961538,4.023e-07,1.000000,8.047e-07,grid_stable_supported
independent_uniform,float32,F1_F2,22,22,1.000000,2.384e-07,1.000000,4.768e-07,grid_stable_supported
independent_uniform,float32,F1_F4,6,6,1.000000,0.015625,1.000000,0.031250,underpowered_grid
independent_uniform,float32,F2_F4,19,19,1.000000,0.000002,1.000000,0.000004,grid_stable_supported
independent_uniform,float64,F1_F2,24,24,1.000000,5.960e-08,1.000000,1.192e-07,grid_stable_supported
independent_uniform,float64,F1_F4,4,4,1.000000,0.062500,1.000000,0.125000,underpowered_grid
independent_uniform,float64,F2_F4,17,17,1.000000,0.000008,1.000000,0.000015,grid_stable_supported
