grid,precision,pair,region,n_in_region,cofire_count,same_sign_count,same_sign_fraction,p_two_tail
reference,float32,F1_F2,non_relativistic,68,22,22,1.000000,4.768e-07
reference,float32,F1_F2,mildly_relativistic,55,6,6,1.000000,0.031250
reference,float32,F1_F2,ultra_relativistic,14,0,0,null,null
reference,float32,F1_F4,non_relativistic,68,3,3,1.000000,0.250000
reference,float32,F1_F4,mildly_relativistic,55,2,2,1.000000,0.500000
reference,float32,F1_F4,ultra_relativistic,14,0,0,null,null
reference,float32,F2_F4,non_relativistic,68,15,14,0.933333,0.000977
reference,float32,F2_F4,mildly_relativistic,55,8,8,1.000000,0.007812
reference,float32,F2_F4,ultra_relativistic,14,0,0,null,null
reference,float64,F1_F2,non_relativistic,68,27,27,1.000000,1.490e-08
reference,float64,F1_F2,mildly_relativistic,55,7,7,1.000000,0.015625
reference,float64,F1_F2,ultra_relativistic,14,0,0,null,null
reference,float64,F1_F4,non_relativistic,68,3,3,1.000000,0.250000
reference,float64,F1_F4,mildly_relativistic,55,1,1,1.000000,1.000000
reference,float64,F1_F4,ultra_relativistic,14,0,0,null,null
reference,float64,F2_F4,non_relativistic,68,10,9,0.900000,0.021484
reference,float64,F2_F4,mildly_relativistic,55,3,3,1.000000,0.250000
reference,float64,F2_F4,ultra_relativistic,14,0,0,null,null
coarse_perturbation,float32,F1_F2,non_relativistic,67,27,27,1.000000,1.490e-08
coarse_perturbation,float32,F1_F2,mildly_relativistic,57,5,5,1.000000,0.062500
coarse_perturbation,float32,F1_F2,ultra_relativistic,13,0,0,null,null
coarse_perturbation,float32,F1_F4,non_relativistic,67,6,6,1.000000,0.031250
coarse_perturbation,float32,F1_F4,mildly_relativistic,57,2,2,1.000000,0.500000
coarse_perturbation,float32,F1_F4,ultra_relativistic,13,0,0,null,null
coarse_perturbation,float32,F2_F4,non_relativistic,67,10,8,0.800000,0.109375
coarse_perturbation,float32,F2_F4,mildly_relativistic,57,7,7,1.000000,0.015625
coarse_perturbation,float32,F2_F4,ultra_relativistic,13,0,0,null,null
coarse_perturbation,float64,F1_F2,non_relativistic,67,20,20,1.000000,0.000002
coarse_perturbation,float64,F1_F2,mildly_relativistic,57,4,4,1.000000,0.125000
coarse_perturbation,float64,F1_F2,ultra_relativistic,13,0,0,null,null
coarse_perturbation,float64,F1_F4,non_relativistic,67,5,5,1.000000,0.062500
coarse_perturbation,float64,F1_F4,mildly_relativistic,57,2,2,1.000000,0.500000
coarse_perturbation,float64,F1_F4,ultra_relativistic,13,0,0,null,null
coarse_perturbation,float64,F2_F4,non_relativistic,67,16,14,0.875000,0.004181
coarse_perturbation,float64,F2_F4,mildly_relativistic,57,5,5,1.000000,0.062500
coarse_perturbation,float64,F2_F4,ultra_relativistic,13,0,0,null,null
fine_perturbation,float32,F1_F2,non_relativistic,68,28,28,1.000000,7.451e-09
fine_perturbation,float32,F1_F2,mildly_relativistic,55,5,5,1.000000,0.062500
fine_perturbation,float32,F1_F2,ultra_relativistic,14,0,0,null,null
fine_perturbation,float32,F1_F4,non_relativistic,68,6,6,1.000000,0.031250
fine_perturbation,float32,F1_F4,mildly_relativistic,55,2,2,1.000000,0.500000
fine_perturbation,float32,F1_F4,ultra_relativistic,14,0,0,null,null
fine_perturbation,float32,F2_F4,non_relativistic,68,15,13,0.866667,0.007385
fine_perturbation,float32,F2_F4,mildly_relativistic,55,8,8,1.000000,0.007812
fine_perturbation,float32,F2_F4,ultra_relativistic,14,0,0,null,null
fine_perturbation,float64,F1_F2,non_relativistic,68,24,24,1.000000,1.192e-07
fine_perturbation,float64,F1_F2,mildly_relativistic,55,3,3,1.000000,0.250000
fine_perturbation,float64,F1_F2,ultra_relativistic,14,0,0,null,null
fine_perturbation,float64,F1_F4,non_relativistic,68,8,8,1.000000,0.007812
fine_perturbation,float64,F1_F4,mildly_relativistic,55,3,3,1.000000,0.250000
fine_perturbation,float64,F1_F4,ultra_relativistic,14,0,0,null,null
fine_perturbation,float64,F2_F4,non_relativistic,68,14,13,0.928571,0.001831
fine_perturbation,float64,F2_F4,mildly_relativistic,55,12,12,1.000000,0.000488
fine_perturbation,float64,F2_F4,ultra_relativistic,14,0,0,null,null
independent_uniform,float32,F1_F2,non_relativistic,65,19,19,1.000000,0.000004
independent_uniform,float32,F1_F2,mildly_relativistic,57,3,3,1.000000,0.250000
independent_uniform,float32,F1_F2,ultra_relativistic,15,0,0,null,null
independent_uniform,float32,F1_F4,non_relativistic,65,5,5,1.000000,0.062500
independent_uniform,float32,F1_F4,mildly_relativistic,57,1,1,1.000000,1.000000
independent_uniform,float32,F1_F4,ultra_relativistic,15,0,0,null,null
independent_uniform,float32,F2_F4,non_relativistic,65,11,11,1.000000,0.000977
independent_uniform,float32,F2_F4,mildly_relativistic,57,8,8,1.000000,0.007812
independent_uniform,float32,F2_F4,ultra_relativistic,15,0,0,null,null
independent_uniform,float64,F1_F2,non_relativistic,65,21,21,1.000000,9.537e-07
independent_uniform,float64,F1_F2,mildly_relativistic,57,3,3,1.000000,0.250000
independent_uniform,float64,F1_F2,ultra_relativistic,15,0,0,null,null
independent_uniform,float64,F1_F4,non_relativistic,65,3,3,1.000000,0.250000
independent_uniform,float64,F1_F4,mildly_relativistic,57,1,1,1.000000,1.000000
independent_uniform,float64,F1_F4,ultra_relativistic,15,0,0,null,null
independent_uniform,float64,F2_F4,non_relativistic,65,8,8,1.000000,0.007812
independent_uniform,float64,F2_F4,mildly_relativistic,57,9,9,1.000000,0.003906
independent_uniform,float64,F2_F4,ultra_relativistic,15,0,0,null,null
