fixture,precision,state_key,count,fraction,example_indices
schwarzschild,float32,"L1=0,L2=0,L4=0,S1=0,S2=0,S4=0",21,0.153285,27 30 32 37 52
schwarzschild,float32,"L1=+1,L2=0,L4=0,S1=+,S2=0,S4=0",8,0.058394,42 49 67 73 84
schwarzschild,float32,"L1=-1,L2=-1,L4=0,S1=-,S2=-,S4=0",5,0.036496,112 122 125 132 136
schwarzschild,float32,"L1=-1,L2=0,L4=0,S1=-,S2=0,S4=0",5,0.036496,57 70 85 98 111
schwarzschild,float32,"L1=0,L2=0,L4=+4,S1=0,S2=0,S4=+",5,0.036496,60 66 68 72 75
schwarzschild,float32,"L1=+1,L2=+1,L4=0,S1=+,S2=+,S4=0",4,0.029197,116 119 124 135
schwarzschild,float32,"L1=+1,L2=+2,L4=0,S1=+,S2=+,S4=0",4,0.029197,96 99 101 109
schwarzschild,float32,"L1=0,L2=-0.5,L4=0,S1=0,S2=-,S4=0",4,0.029197,118 123 127 130
schwarzschild,float32,"L1=0,L2=0,L4=+2,S1=0,S2=0,S4=+",4,0.029197,82 83 92 93
schwarzschild,float32,"L1=0,L2=0,L4=+8,S1=0,S2=0,S4=+",4,0.029197,38 48 63 69
schwarzschild,float32,"L1=0,L2=0,L4=-2,S1=0,S2=0,S4=-",4,0.029197,87 89 90 95
schwarzschild,float32,"L1=0,L2=0,L4=-16,S1=0,S2=0,S4=-",3,0.021898,39 45 58
schwarzschild,float32,"L1=+1,L2=0,L4=+2,S1=+,S2=0,S4=+",2,0.014599,104 105
schwarzschild,float32,"L1=-1,L2=0,L4=+16,S1=-,S2=0,S4=+",2,0.014599,62 64
schwarzschild,float32,"L1=-1,L2=0,L4=+24,S1=-,S2=0,S4=+",2,0.014599,40 51
schwarzschild,float32,"L1=-1,L2=0,L4=+4,S1=-,S2=0,S4=+",2,0.014599,59 77
schwarzschild,float32,"L1=0,L2=+0.5,L4=0,S1=0,S2=+,S4=0",2,0.014599,117 133
schwarzschild,float32,"L1=0,L2=0,L4=+16,S1=0,S2=0,S4=+",2,0.014599,31 54
schwarzschild,float32,"L1=0,L2=0,L4=-112,S1=0,S2=0,S4=-",2,0.014599,18 29
schwarzschild,float32,"L1=0,L2=0,L4=-24,S1=0,S2=0,S4=-",2,0.014599,28 50
schwarzschild,float32,"L1=0,L2=0,L4=-32,S1=0,S2=0,S4=-",2,0.014599,26 47
schwarzschild,float32,"L1=0,L2=0,L4=-48,S1=0,S2=0,S4=-",2,0.014599,33 36
schwarzschild,float32,"L1=0,L2=0,L4=-8,S1=0,S2=0,S4=-",2,0.014599,24 35
schwarzschild,float32,"L1=0,L2=0,L4=0,S1=0,S2=+,S4=0",2,0.014599,129 131
schwarzschild,float32,"L1=+1,L2=+2,L4=+2,S1=+,S2=+,S4=+",1,0.007299,97
schwarzschild,float32,"L1=+1,L2=0,L4=+1136,S1=+,S2=0,S4=+",1,0.007299,1
schwarzschild,float32,"L1=+1,L2=0,L4=+16,S1=+,S2=0,S4=+",1,0.007299,65
schwarzschild,float32,"L1=+1,L2=0,L4=+176,S1=+,S2=0,S4=+",1,0.007299,9
schwarzschild,float32,"L1=+1,L2=0,L4=+20,S1=+,S2=0,S4=+",1,0.007299,56
schwarzschild,float32,"L1=+1,L2=0,L4=+32,S1=+,S2=0,S4=+",1,0.007299,44
schwarzschild,float32,"L1=+1,L2=0,L4=+336,S1=+,S2=0,S4=+",1,0.007299,11
schwarzschild,float32,"L1=+1,L2=0,L4=+4,S1=+,S2=0,S4=+",1,0.007299,78
schwarzschild,float32,"L1=+1,L2=0,L4=+40,S1=+,S2=0,S4=+",1,0.007299,41
schwarzschild,float32,"L1=+1,L2=0,L4=+416,S1=+,S2=0,S4=+",1,0.007299,8
