grid,precision,pair,cofire_count,same_sign_count,same_sign_fraction,p_one_tail_upper,p_one_tail_lower,p_two_tail,status
reference,float32,F1_F2,37,37,1.000000,7.276e-12,1.000000,1.455e-11,reference_grid_confirmed
reference,float32,F1_F4,17,15,0.882353,0.001175,0.999863,0.002350,grid_stability_rejected
reference,float32,F2_F4,14,14,1.000000,0.000061,1.000000,0.000122,reference_grid_confirmed
reference,float64,F1_F2,39,39,1.000000,1.819e-12,1.000000,3.638e-12,reference_grid_confirmed
reference,float64,F1_F4,25,18,0.720000,0.021643,0.992683,0.043285,grid_stability_rejected
reference,float64,F2_F4,17,17,1.000000,0.000008,1.000000,0.000015,reference_grid_confirmed
coarse_perturbation,float32,F1_F2,37,37,1.000000,7.276e-12,1.000000,1.455e-11,grid_stable_supported
coarse_perturbation,float32,F1_F4,21,16,0.761905,0.013302,0.996401,0.026604,grid_stability_rejected
coarse_perturbation,float32,F2_F4,17,17,1.000000,0.000008,1.000000,0.000015,underpowered_grid
coarse_perturbation,float64,F1_F2,38,38,1.000000,3.638e-12,1.000000,7.276e-12,grid_stable_supported
coarse_perturbation,float64,F1_F4,15,11,0.733333,0.059235,0.982422,0.118469,grid_stability_rejected
coarse_perturbation,float64,F2_F4,8,8,1.000000,0.003906,1.000000,0.007812,underpowered_grid
fine_perturbation,float32,F1_F2,41,41,1.000000,4.547e-13,1.000000,9.095e-13,grid_stable_supported
fine_perturbation,float32,F1_F4,22,16,0.727273,0.026239,0.991550,0.052479,grid_stability_rejected
fine_perturbation,float32,F2_F4,15,15,1.000000,0.000031,1.000000,0.000061,grid_stable_supported
fine_perturbation,float64,F1_F2,42,42,1.000000,2.274e-13,1.000000,4.547e-13,grid_stable_supported
fine_perturbation,float64,F1_F4,15,11,0.733333,0.059235,0.982422,0.118469,grid_stability_rejected
fine_perturbation,float64,F2_F4,15,15,1.000000,0.000031,1.000000,0.000061,grid_stable_supported
independent_uniform,float32,F1_F2,39,39,1.000000,1.819e-12,1.000000,3.638e-12,grid_stable_supported
independent_uniform,float32,F1_F4,21,19,0.904762,0.000111,0.999990,0.000221,grid_stability_rejected
independent_uniform,float32,F2_F4,12,12,1.000000,0.000244,1.000000,0.000488,grid_stable_supported
independent_uniform,float64,F1_F2,37,37,1.000000,7.276e-12,1.000000,1.455e-11,grid_stable_supported
independent_uniform,float64,F1_F4,20,17,0.850000,0.001288,0.999799,0.002577,grid_stability_rejected
independent_uniform,float64,F2_F4,13,13,1.000000,0.000122,1.000000,0.000244,grid_stable_supported
