grid,precision,pair,region,n_in_region,cofire_count,same_sign_count,same_sign_fraction,p_two_tail
reference,float32,F1_F2,small_x,34,15,15,1.000000,0.000061
reference,float32,F1_F2,mid_x,69,22,22,1.000000,4.768e-07
reference,float32,F1_F2,large_x,34,0,0,null,null
reference,float32,F1_F4,small_x,34,4,4,1.000000,0.125000
reference,float32,F1_F4,mid_x,69,6,6,1.000000,0.031250
reference,float32,F1_F4,large_x,34,7,5,0.714286,0.453125
reference,float32,F2_F4,small_x,34,8,8,1.000000,0.007812
reference,float32,F2_F4,mid_x,69,6,6,1.000000,0.031250
reference,float32,F2_F4,large_x,34,0,0,null,null
reference,float64,F1_F2,small_x,34,12,12,1.000000,0.000488
reference,float64,F1_F2,mid_x,69,27,27,1.000000,1.490e-08
reference,float64,F1_F2,large_x,34,0,0,null,null
reference,float64,F1_F4,small_x,34,5,5,1.000000,0.062500
reference,float64,F1_F4,mid_x,69,10,10,1.000000,0.001953
reference,float64,F1_F4,large_x,34,10,3,0.300000,0.343750
reference,float64,F2_F4,small_x,34,7,7,1.000000,0.015625
reference,float64,F2_F4,mid_x,69,10,10,1.000000,0.001953
reference,float64,F2_F4,large_x,34,0,0,null,null
coarse_perturbation,float32,F1_F2,small_x,33,14,14,1.000000,0.000122
coarse_perturbation,float32,F1_F2,mid_x,71,23,23,1.000000,2.384e-07
coarse_perturbation,float32,F1_F2,large_x,33,0,0,null,null
coarse_perturbation,float32,F1_F4,small_x,33,3,3,1.000000,0.250000
coarse_perturbation,float32,F1_F4,mid_x,71,10,10,1.000000,0.001953
coarse_perturbation,float32,F1_F4,large_x,33,8,3,0.375000,0.726562
coarse_perturbation,float32,F2_F4,small_x,33,7,7,1.000000,0.015625
coarse_perturbation,float32,F2_F4,mid_x,71,10,10,1.000000,0.001953
coarse_perturbation,float32,F2_F4,large_x,33,0,0,null,null
coarse_perturbation,float64,F1_F2,small_x,33,16,16,1.000000,0.000031
coarse_perturbation,float64,F1_F2,mid_x,71,22,22,1.000000,4.768e-07
coarse_perturbation,float64,F1_F2,large_x,33,0,0,null,null
coarse_perturbation,float64,F1_F4,small_x,33,3,3,1.000000,0.250000
coarse_perturbation,float64,F1_F4,mid_x,71,4,4,1.000000,0.125000
coarse_perturbation,float64,F1_F4,large_x,33,8,4,0.500000,1.000000
coarse_perturbation,float64,F2_F4,small_x,33,4,4,1.000000,0.125000
coarse_perturbation,float64,F2_F4,mid_x,71,4,4,1.000000,0.125000
coarse_perturbation,float64,F2_F4,large_x,33,0,0,null,null
fine_perturbation,float32,F1_F2,small_x,34,17,17,1.000000,0.000015
fine_perturbation,float32,F1_F2,mid_x,69,24,24,1.000000,1.192e-07
fine_perturbation,float32,F1_F2,large_x,34,0,0,null,null
fine_perturbation,float32,F1_F4,small_x,34,3,3,1.000000,0.250000
fine_perturbation,float32,F1_F4,mid_x,69,10,10,1.000000,0.001953
fine_perturbation,float32,F1_F4,large_x,34,9,3,0.333333,0.507812
fine_perturbation,float32,F2_F4,small_x,34,5,5,1.000000,0.062500
fine_perturbation,float32,F2_F4,mid_x,69,10,10,1.000000,0.001953
fine_perturbation,float32,F2_F4,large_x,34,0,0,null,null
fine_perturbation,float64,F1_F2,small_x,34,18,18,1.000000,0.000008
fine_perturbation,float64,F1_F2,mid_x,69,24,24,1.000000,1.192e-07
fine_perturbation,float64,F1_F2,large_x,34,0,0,null,null
fine_perturbation,float64,F1_F4,small_x,34,2,2,1.000000,0.500000
fine_perturbation,float64,F1_F4,mid_x,69,8,8,1.000000,0.007812
fine_perturbation,float64,F1_F4,large_x,34,5,1,0.200000,0.375000
fine_perturbation,float64,F2_F4,small_x,34,7,7,1.000000,0.015625
fine_perturbation,float64,F2_F4,mid_x,69,8,8,1.000000,0.007812
fine_perturbation,float64,F2_F4,large_x,34,0,0,null,null
independent_uniform,float32,F1_F2,small_x,28,16,16,1.000000,0.000031
independent_uniform,float32,F1_F2,mid_x,76,23,23,1.000000,2.384e-07
independent_uniform,float32,F1_F2,large_x,33,0,0,null,null
independent_uniform,float32,F1_F4,small_x,28,5,5,1.000000,0.062500
independent_uniform,float32,F1_F4,mid_x,76,7,7,1.000000,0.015625
independent_uniform,float32,F1_F4,large_x,33,9,7,0.777778,0.179688
independent_uniform,float32,F2_F4,small_x,28,5,5,1.000000,0.062500
independent_uniform,float32,F2_F4,mid_x,76,7,7,1.000000,0.015625
independent_uniform,float32,F2_F4,large_x,33,0,0,null,null
independent_uniform,float64,F1_F2,small_x,28,14,14,1.000000,0.000122
independent_uniform,float64,F1_F2,mid_x,76,23,23,1.000000,2.384e-07
independent_uniform,float64,F1_F2,large_x,33,0,0,null,null
independent_uniform,float64,F1_F4,small_x,28,2,2,1.000000,0.500000
independent_uniform,float64,F1_F4,mid_x,76,9,9,1.000000,0.003906
independent_uniform,float64,F1_F4,large_x,33,9,6,0.666667,0.507812
independent_uniform,float64,F2_F4,small_x,28,4,4,1.000000,0.125000
independent_uniform,float64,F2_F4,mid_x,76,9,9,1.000000,0.003906
independent_uniform,float64,F2_F4,large_x,33,0,0,null,null
