fixture,path_label,nonzero_float32,nonzero_float64,nonzero_decimal_50,lattice_bins,alpha_statuses,envelope_concentration,envelope_dynamic_range,envelope_region_small,envelope_region_large
schwarzschild,F1,59,69,55,6,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.6091454583074695,2.4082399653118496,0.3333333333333333,0.3188405797101449
schwarzschild,F2,25,28,12,18,alpha_insufficient_data alpha_insufficient_data alpha_zero_boundary alpha_negative_singularity alpha_zero_boundary,0.6455696202531646,0.7781512503836436,0.0,1.0
schwarzschild,F3,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
schwarzschild,F4,80,92,62,73,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data,0.3248407643312102,1.4471580313422192,0.4782608695652174,0.10869565217391304
schwarzschild,P_sign_a,59,69,55,6,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.6091454583074695,2.4082399653118496,0.3333333333333333,0.3188405797101449
schwarzschild,P_sign_b,25,28,12,18,alpha_insufficient_data alpha_insufficient_data alpha_zero_boundary alpha_negative_singularity alpha_zero_boundary,0.6455696202531646,0.7781512503836436,0.0,1.0
schwarzschild,P_sign_c,15,16,12,10,alpha_insufficient_data alpha_insufficient_data alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.8125,0.0,0.0,1.0
schwarzschild,P_factor_b,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
schwarzschild,P_diff_squares,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
schwarzschild,P_scaled_2,59,69,31,6,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.6091454583074695,2.4082399653118496,0.3333333333333333,0.3188405797101449
schwarzschild,P_scaled_half,59,69,34,6,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.6091454583074695,2.4082399653118496,0.3333333333333333,0.3188405797101449
schwarzschild,P_distrib_mul,59,70,55,6,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.6051387461459404,2.4082399653118496,0.32857142857142857,0.3142857142857143
schwarzschild,P_distrib_sqrt_mul,0,1,0,1,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,1.0,0.0,0.0,0.0
schwarzschild,P_compound_split,15,16,12,10,alpha_insufficient_data alpha_insufficient_data alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.8125,0.0,0.0,1.0
schwarzschild,P_compound_zero,59,69,55,6,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.6091454583074695,2.4082399653118496,0.3333333333333333,0.3188405797101449
sr,F1,28,34,21,7,alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.5434782608695652,0.3010299956639812,0.5588235294117647,0.0
sr,F2,92,95,59,22,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data,0.26330442031920104,2.186391215695493,0.47368421052631576,0.11578947368421053
sr,F3,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
sr,F4,42,27,83,22,alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_zero_boundary,0.752442996742671,1.806179973983887,0.2222222222222222,0.5185185185185185
sr,P_sign_a,64,75,44,6,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_fractional_branch alpha_zero_boundary,0.23143153932745425,3.612359947967774,0.32,0.4
sr,P_sign_b,92,95,59,22,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data,0.26330442031920104,2.186391215695493,0.47368421052631576,0.11578947368421053
sr,P_sign_c,52,55,38,10,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data,0.23636363636363636,0.0,0.43636363636363634,0.18181818181818182
sr,P_factor_b,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
sr,P_diff_squares,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
sr,P_scaled_2,64,75,11,6,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_fractional_branch alpha_zero_boundary,0.23143153932745425,3.612359947967774,0.32,0.4
sr,P_scaled_half,64,75,20,6,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_fractional_branch alpha_zero_boundary,0.23143153932745425,3.612359947967774,0.32,0.4
sr,P_distrib_mul,64,76,45,6,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_fractional_branch alpha_zero_boundary,0.22938969280012406,3.612359947967774,0.3157894736842105,0.40789473684210525
sr,P_distrib_sqrt_mul,0,1,1,2,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,1.0,0.0,0.0,1.0
sr,P_compound_split,52,55,38,10,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data,0.23636363636363636,0.0,0.43636363636363634,0.18181818181818182
sr,P_compound_zero,64,75,44,6,alpha_zero_boundary alpha_insufficient_data alpha_zero_boundary alpha_fractional_branch alpha_zero_boundary,0.23143153932745425,3.612359947967774,0.32,0.4
pure_algebraic,F1,65,70,45,7,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.3018867924528302,1.505149978319906,0.2714285714285714,0.38571428571428573
pure_algebraic,F2,60,64,128,21,alpha_zero_boundary alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.3196635120925342,1.380211241711606,0.59375,0.03125
pure_algebraic,F3,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
pure_algebraic,F4,39,40,51,25,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_cancellation_dominated,0.3825503355704698,0.5440680443502757,0.25,0.475
pure_algebraic,P_sign_a,65,70,45,7,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.3018867924528302,1.505149978319906,0.2714285714285714,0.38571428571428573
pure_algebraic,P_sign_b,60,64,128,21,alpha_zero_boundary alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.3196635120925342,1.380211241711606,0.59375,0.03125
pure_algebraic,P_sign_c,37,39,38,10,alpha_zero_boundary alpha_zero_boundary alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.3333333333333333,0.0,0.48717948717948717,0.05128205128205128
pure_algebraic,P_factor_b,0,0,8,2,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
pure_algebraic,P_diff_squares,0,0,0,0,alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data alpha_insufficient_data,0.0,0.0,0.0,0.0
pure_algebraic,P_scaled_2,65,70,16,7,alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary alpha_zero_boundary,0.3018867924528302,1.505149978319906,0.2714285714285714,0.38571428571428573
