grid,precision,pair,cofire_count,same_sign_count,same_sign_fraction,p_one_tail_upper,p_one_tail_lower,p_two_tail,status
reference,float32,F1_F2,58,58,1.000000,3.469e-18,1.000000,6.939e-18,reference_grid_confirmed
reference,float32,F1_F4,22,18,0.818182,0.002172,0.999572,0.004344,grid_stability_rejected
reference,float32,F2_F4,11,11,1.000000,0.000488,1.000000,0.000977,grid_stability_rejected
reference,float64,F1_F2,91,91,1.000000,4.039e-28,1.000000,8.078e-28,reference_grid_confirmed
reference,float64,F1_F4,28,20,0.714286,0.017849,0.993730,0.035698,grid_stability_rejected
reference,float64,F2_F4,21,15,0.714286,0.039177,0.986698,0.078354,grid_stability_rejected
coarse_perturbation,float32,F1_F2,63,63,1.000000,1.084e-19,1.000000,2.168e-19,grid_stable_supported
coarse_perturbation,float32,F1_F4,19,14,0.736842,0.031784,0.990395,0.063568,grid_stability_rejected
coarse_perturbation,float32,F2_F4,10,10,1.000000,0.000977,1.000000,0.001953,grid_stability_rejected
coarse_perturbation,float64,F1_F2,89,89,1.000000,1.616e-27,1.000000,3.231e-27,grid_stable_supported
coarse_perturbation,float64,F1_F4,28,21,0.750000,0.006270,0.998140,0.012541,grid_stability_rejected
coarse_perturbation,float64,F2_F4,22,21,0.954545,0.000005,1.000000,0.000011,grid_stability_rejected
fine_perturbation,float32,F1_F2,61,61,1.000000,4.337e-19,1.000000,8.674e-19,grid_stable_supported
fine_perturbation,float32,F1_F4,28,25,0.892857,0.000014,0.999998,0.000027,grid_stability_rejected
fine_perturbation,float32,F2_F4,16,16,1.000000,0.000015,1.000000,0.000031,grid_stability_rejected
fine_perturbation,float64,F1_F2,83,83,1.000000,1.034e-25,1.000000,2.068e-25,grid_stable_supported
fine_perturbation,float64,F1_F4,31,24,0.774194,0.001663,0.999561,0.003327,grid_stability_rejected
fine_perturbation,float64,F2_F4,24,21,0.875000,0.000139,0.999982,0.000277,grid_stability_rejected
independent_uniform,float32,F1_F2,49,49,1.000000,1.776e-15,1.000000,3.553e-15,grid_stable_supported
independent_uniform,float32,F1_F4,23,22,0.956522,0.000003,1.000000,0.000006,grid_stability_rejected
independent_uniform,float32,F2_F4,16,16,1.000000,0.000015,1.000000,0.000031,grid_stability_rejected
independent_uniform,float64,F1_F2,94,94,1.000000,5.049e-29,1.000000,1.010e-28,grid_stable_supported
independent_uniform,float64,F1_F4,37,26,0.702703,0.010037,0.996184,0.020074,grid_stability_rejected
independent_uniform,float64,F2_F4,29,22,0.758621,0.004065,0.998842,0.008130,grid_stability_rejected
