grid,precision,pair,region,n_in_region,cofire_count,same_sign_count,same_sign_fraction,p_two_tail
reference,float32,F1_F2,small_x,34,24,24,1.000000,1.192e-07
reference,float32,F1_F2,mid_x,69,31,31,1.000000,9.313e-10
reference,float32,F1_F2,large_x,34,3,3,1.000000,0.250000
reference,float32,F1_F4,small_x,34,3,3,1.000000,0.250000
reference,float32,F1_F4,mid_x,69,6,6,1.000000,0.031250
reference,float32,F1_F4,large_x,34,13,9,0.692308,0.266846
reference,float32,F2_F4,small_x,34,3,3,1.000000,0.250000
reference,float32,F2_F4,mid_x,69,6,6,1.000000,0.031250
reference,float32,F2_F4,large_x,34,2,2,1.000000,0.500000
reference,float64,F1_F2,small_x,34,31,31,1.000000,9.313e-10
reference,float64,F1_F2,mid_x,69,48,48,1.000000,7.105e-15
reference,float64,F1_F2,large_x,34,12,12,1.000000,0.000488
reference,float64,F1_F4,small_x,34,4,3,0.750000,0.625000
reference,float64,F1_F4,mid_x,69,11,8,0.727273,0.226562
reference,float64,F1_F4,large_x,34,13,9,0.692308,0.266846
reference,float64,F2_F4,small_x,34,5,4,0.800000,0.375000
reference,float64,F2_F4,mid_x,69,11,8,0.727273,0.226562
reference,float64,F2_F4,large_x,34,5,3,0.600000,1.000000
coarse_perturbation,float32,F1_F2,small_x,33,24,24,1.000000,1.192e-07
coarse_perturbation,float32,F1_F2,mid_x,71,37,37,1.000000,1.455e-11
coarse_perturbation,float32,F1_F2,large_x,33,2,2,1.000000,0.500000
coarse_perturbation,float32,F1_F4,small_x,33,3,3,1.000000,0.250000
coarse_perturbation,float32,F1_F4,mid_x,71,6,6,1.000000,0.031250
coarse_perturbation,float32,F1_F4,large_x,33,10,5,0.500000,1.000000
coarse_perturbation,float32,F2_F4,small_x,33,4,4,1.000000,0.125000
coarse_perturbation,float32,F2_F4,mid_x,71,6,6,1.000000,0.031250
coarse_perturbation,float32,F2_F4,large_x,33,0,0,null,null
coarse_perturbation,float64,F1_F2,small_x,33,29,29,1.000000,3.725e-09
coarse_perturbation,float64,F1_F2,mid_x,71,48,48,1.000000,7.105e-15
coarse_perturbation,float64,F1_F2,large_x,33,12,12,1.000000,0.000488
coarse_perturbation,float64,F1_F4,small_x,33,5,5,1.000000,0.062500
coarse_perturbation,float64,F1_F4,mid_x,71,13,13,1.000000,0.000244
coarse_perturbation,float64,F1_F4,large_x,33,10,3,0.300000,0.343750
coarse_perturbation,float64,F2_F4,small_x,33,5,5,1.000000,0.062500
coarse_perturbation,float64,F2_F4,mid_x,71,13,13,1.000000,0.000244
coarse_perturbation,float64,F2_F4,large_x,33,4,3,0.750000,0.625000
fine_perturbation,float32,F1_F2,small_x,34,22,22,1.000000,4.768e-07
fine_perturbation,float32,F1_F2,mid_x,69,37,37,1.000000,1.455e-11
fine_perturbation,float32,F1_F2,large_x,34,2,2,1.000000,0.500000
fine_perturbation,float32,F1_F4,small_x,34,5,5,1.000000,0.062500
fine_perturbation,float32,F1_F4,mid_x,69,10,10,1.000000,0.001953
fine_perturbation,float32,F1_F4,large_x,34,13,10,0.769231,0.092285
fine_perturbation,float32,F2_F4,small_x,34,5,5,1.000000,0.062500
fine_perturbation,float32,F2_F4,mid_x,69,10,10,1.000000,0.001953
fine_perturbation,float32,F2_F4,large_x,34,1,1,1.000000,1.000000
fine_perturbation,float64,F1_F2,small_x,34,26,26,1.000000,2.980e-08
fine_perturbation,float64,F1_F2,mid_x,69,47,47,1.000000,1.421e-14
fine_perturbation,float64,F1_F2,large_x,34,10,10,1.000000,0.001953
fine_perturbation,float64,F1_F4,small_x,34,7,7,1.000000,0.015625
fine_perturbation,float64,F1_F4,mid_x,69,13,11,0.846154,0.022461
fine_perturbation,float64,F1_F4,large_x,34,11,6,0.545455,1.000000
fine_perturbation,float64,F2_F4,small_x,34,9,8,0.888889,0.039062
fine_perturbation,float64,F2_F4,mid_x,69,13,11,0.846154,0.022461
fine_perturbation,float64,F2_F4,large_x,34,2,2,1.000000,0.500000
independent_uniform,float32,F1_F2,small_x,28,17,17,1.000000,0.000015
independent_uniform,float32,F1_F2,mid_x,76,31,31,1.000000,9.313e-10
independent_uniform,float32,F1_F2,large_x,33,1,1,1.000000,1.000000
independent_uniform,float32,F1_F4,small_x,28,5,5,1.000000,0.062500
independent_uniform,float32,F1_F4,mid_x,76,9,9,1.000000,0.003906
independent_uniform,float32,F1_F4,large_x,33,9,8,0.888889,0.039062
independent_uniform,float32,F2_F4,small_x,28,6,6,1.000000,0.031250
independent_uniform,float32,F2_F4,mid_x,76,9,9,1.000000,0.003906
independent_uniform,float32,F2_F4,large_x,33,1,1,1.000000,1.000000
independent_uniform,float64,F1_F2,small_x,28,26,26,1.000000,2.980e-08
independent_uniform,float64,F1_F2,mid_x,76,57,57,1.000000,1.388e-17
independent_uniform,float64,F1_F2,large_x,33,11,11,1.000000,0.000977
independent_uniform,float64,F1_F4,small_x,28,5,2,0.400000,1.000000
independent_uniform,float64,F1_F4,mid_x,76,20,17,0.850000,0.002577
independent_uniform,float64,F1_F4,large_x,33,12,7,0.583333,0.774414
independent_uniform,float64,F2_F4,small_x,28,5,2,0.400000,1.000000
independent_uniform,float64,F2_F4,mid_x,76,20,17,0.850000,0.002577
independent_uniform,float64,F2_F4,large_x,33,4,3,0.750000,0.625000
